Marque,CarType,FuelType,Gearbox,ManufacturingDate,Engine_l,Power_kW,Mileage_km,Price_euro
Ford Tourneo Custom, commercial        ,Diesel,Manual,2016,1.5,70,188928,7550
Peugeot 207, hatchback        ,Diesel,Manual,2011,1.6,68,150000,2850
BMW 730, saloon / sedan        ,Diesel,Automatic,2004,3.0,160,303800,3200
Ford Mondeo, wagon        ,Diesel,Manual,2016,1.5,88,188987,8450
Ford Mondeo, hatchback        ,Diesel,Manual,2016,1.5,88,113090,9150
BMW 216 Active Tourer, mpv / minivan        ,Diesel,Automatic,2016,1.5,85,173162,9250
Mercedes-Benz E350, wagon        ,Diesel,Automatic,2012,3.0,195,207000,9900
BMW 328, saloon / sedan        ,Petrol,Automatic,2013,2.0,180,145000,9950
BMW 530, wagon        ,Diesel,Automatic,2012,3.0,190,344000,10000
BMW 316, saloon / sedan        ,Diesel,Automatic,2016,2.0,85,218243,10250
BMW 316, saloon / sedan        ,Diesel,Automatic,2016,2.0,85,213592,10750
Ford S-MAX, mpv / minivan        ,Diesel,Automatic,2017,2.0,110,196964,11850
Honda CR-V, suv / off-road        ,Diesel,Manual,2017,1.6,88,194411,12250
Audi A5 SPORTBACK, hatchback        ,Diesel,Automatic,2012,3.0,150,236000,12250
Fiat Ducato, passenger vans        ,Diesel,Automatic,2011,3.0,116,296784,13600
BMW 525, saloon / sedan        ,Diesel,Automatic,2013,2.0,160,240513,13990
Land Rover Range Rover Sport, suv / off-road        ,Diesel,Automatic,2012,3.0,188,161000,14900
BMW Z4, convertible        ,Petrol,Automatic,2016,2.0,120,137605,19250
Volkswagen Passat, wagon        ,Petrol,Automatic,2019,1.5,110,27000,25899
BMW 630 Gran Turismo, hatchback        ,Diesel,Automatic,2017,3.0,195,130752,32950
BMW 530, wagon        ,Diesel,Automatic,2003,3.0,142,560000,2000
BMW 530, wagon        ,Diesel,Automatic,2006,wagon,160,289000,4550
BMW 530, saloon / sedan        ,Diesel,Automatic,2011,3.0,150,266000,12400
Volvo S60, saloon / sedan        ,Diesel,Manual,2003,2.4,96,349000,899
Ford Focus, wagon        ,Diesel,Manual,2007,1.6,66,364000,1100
Mercedes-Benz ML320, suv / off-road        ,Petrol,Automatic,1999,3.2,160,296000,1199
Subaru Forester, suv / off-road        ,Diesel,Manual,2009,2.0,108,283000,1199
Subaru Forester, suv / off-road        ,Diesel,Manual,2008,2.0,108,219000,1199
Suzuki Swift, hatchback        ,Petrol,Manual,2005,1.3,68,196000,1299
Volvo S60, saloon / sedan        ,Diesel,Automatic,2002,2.4,120,247000,1399
Audi 80, saloon / sedan        ,Diesel,Manual,1983,1.6,51,306000,1590
Hyundai Santa Fe, suv / off-road        ,Diesel,Automatic,2006,2.2,110,253000,1699
Suzuki Alto, hatchback        ,Petrol,Manual,2010,1.0,50,148000,1799
Volkswagen Golf, hatchback        ,Diesel,Manual,1983,1.6,40,200000,1999
Citroen Nemo, commercial        ,Diesel,Manual,2011,1.2,55,164000,1999
BMW 530, saloon / sedan        ,Diesel,Automatic,2003,2.9,142,286340,2830
Volkswagen Golf, wagon        ,Diesel,Automatic,2008,1.9,77,305000,2850
Peugeot 307, convertible        ,Petrol / LPG,Automatic,2007,2.0,103,203000,3050
Chevrolet Cruze, saloon / sedan        ,Petrol,Automatic,2009,1.6,83,259000,3499
BMW 740, saloon / sedan        ,Diesel,Automatic,2002,4.0,190,299000,3499
Chrysler 300C, saloon / sedan        ,Diesel,Automatic,2008,3.0,160,330000,3800
Peugeot 208, hatchback        ,Diesel,Manual,2014,1.4,50,195000,3999
BMW 330, saloon / sedan        ,Diesel,Manual,2006,3.0,170,284800,3999
Chevrolet Orlando, mpv / minivan        ,Diesel,Manual,2011,2.0,96,169000,4299
Volkswagen Sharan, mpv / minivan        ,Diesel,Automatic,2005,1.9,85,241000,4444
BMW 330, wagon        ,Diesel,Automatic,2008,3.0,170,311000,4499
Mitsubishi Outlander, suv / off-road        ,Petrol / LPG,Automatic,2010,2.4,125,117000,4999
Volkswagen Golf, hatchback        ,Diesel,Manual,2010,2.0,125,221000,5990
Volkswagen Tiguan, suv / off-road        ,Petrol,Manual,2008,1.4,110,152000,5999
